TABLE,COLUMN
ADR6,CLIENT
ADR6,ADDRNUMBER
ADR6,PERSNUMBER
ADR6,DATE_FROM
ADR6,CONSNUMBER
ADR6,FLGDEFAULT
ADR6,FLG_NOUSE
ADR6,HOME_FLAG
ADR6,SMTP_ADDR
ADR6,SMTP_SRCH
ADR6,DFT_RECEIV
ADR6,R3_USER
ADR6,ENCODE
ADR6,TNEF
ADR6,VALID_FROM
ADR6,VALID_TO
ADRC,CLIENT
ADRC,ADDRNUMBER
ADRC,DATE_FROM
ADRC,NATION
ADRC,DATE_TO
ADRC,TITLE
ADRC,NAME1
ADRC,NAME2
ADRC,NAME3
ADRC,NAME4
ADRC,NAME_TEXT
ADRC,NAME_CO
ADRC,CITY1
ADRC,CITY2
ADRC,CITY_CODE
ADRC,CITYP_CODE
ADRC,HOME_CITY
ADRC,CITYH_CODE
ADRC,CHCKSTATUS
ADRC,REGIOGROUP
ADRC,POST_CODE1
ADRC,POST_CODE2
ADRC,POST_CODE3
ADRC,PCODE1_EXT
ADRC,PCODE2_EXT
ADRC,PCODE3_EXT
ADRC,PO_BOX
ADRC,DONT_USE_P
ADRC,PO_BOX_NUM
ADRC,PO_BOX_LOC
ADRC,CITY_CODE2
ADRC,PO_BOX_REG
ADRC,PO_BOX_CTY
ADRC,POSTALAREA
ADRC,TRANSPZONE
ADRC,STREET
ADRC,DONT_USE_S
ADRC,STREETCODE
ADRC,STREETABBR
ADRC,HOUSE_NUM1
ADRC,HOUSE_NUM2
ADRC,HOUSE_NUM3
ADRC,STR_SUPPL1
ADRC,STR_SUPPL2
ADRC,STR_SUPPL3
ADRC,LOCATION
ADRC,BUILDING
ADRC,FLOOR
ADRC,ROOMNUMBER
ADRC,COUNTRY
ADRC,LANGU
ADRC,REGION
ADRC,ADDR_GROUP
ADRC,FLAGGROUPS
ADRC,PERS_ADDR
ADRC,SORT1
ADRC,SORT2
ADRC,SORT_PHN
ADRC,DEFLT_COMM
ADRC,TEL_NUMBER
ADRC,TEL_EXTENS
ADRC,FAX_NUMBER
ADRC,FAX_EXTENS
ADRC,FLAGCOMM2
ADRC,FLAGCOMM3
ADRC,FLAGCOMM4
ADRC,FLAGCOMM5
ADRC,FLAGCOMM6
ADRC,FLAGCOMM7
ADRC,FLAGCOMM8
ADRC,FLAGCOMM9
ADRC,FLAGCOMM10
ADRC,FLAGCOMM11
ADRC,FLAGCOMM12
ADRC,FLAGCOMM13
ADRC,ADDRORIGIN
ADRC,MC_NAME1
ADRC,MC_CITY1
ADRC,MC_STREET
ADRC,EXTENSION1
ADRC,EXTENSION2
ADRC,TIME_ZONE
ADRC,TAXJURCODE
ADRC,ADDRESS_ID
ADRC,LANGU_CREA
ADRC,ADRC_UUID
ADRC,UUID_BELATED
ADRC,ID_CATEGORY
ADRC,ADRC_ERR_STATUS
ADRC,PO_BOX_LOBBY
ADRC,DELI_SERV_TYPE
